timecode,event,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4
6497,,-11.744338350348112,1.9396435751777763,-13.046548355699256,-3.1900453871046413,-7.135059004699313,-8.442975503172931,-10.29421128666491,-5.989439110512713,-6.726896890291637,-1.1433800242787615,-0.1154682918436176,-10.872626020283224,1.0576072424411436,-8.502792947261199
6747,,-11.078300379402906,3.077086166245709,-10.991521692538829,-3.438055456614512,-4.114006632801928,-5.702292069619705,-6.9386336758006255,-6.228016420174935,-9.759424659713169,-4.125202172572568,-3.6545825805002528,-8.398173947689191,4.808335838699064,-7.574651371699833
6997,,-6.304736933609667,4.624717970378641,-6.395331560075933,-2.784760741897302,-3.331395607736934,-4.295821016739893,-6.778144826144579,-7.308817353579428,-6.724369567666909,-1.806544723700992,-0.2973277876908456,-5.745996158664212,7.7504716767176145,-6.512718454929255
7246,,-8.085216690059966,0.7433964573323795,-7.486611620512809,-4.321232613145338,-5.452843267835807,-2.3406980020779926,-6.509795035454872,-6.900815466633501,-3.9690688307362834,1.55644897855065,-0.2679939042771671,-4.14537148721268,6.284765212715319,-11.130298983808524
7496,,-11.23117625952842,-5.018928005248993,-12.30651394191356,-4.467314671022642,-7.446824505392934,-5.649900212872382,-7.461630025990001,-8.31008288137156,-5.592576150865919,0.0247346484110958,-3.780370057055983,-7.084975878277088,2.72441354361503,-9.202942354648242
7746,,-8.097384122838063,-2.801356101725325,-13.39580755279946,-4.254002237701945,-8.289334336070798,-9.281677546995422,-8.008697327769989,-9.816527573682553,-8.753980580916426,1.5898831599256278,-0.6012591511938341,-10.918067738985863,4.275343284752495,-9.299564521928998
7996,,-7.8783097037636916,-2.735350299070464,-12.014101362630909,-3.845825329308139,-8.400522514858165,-10.266977274376,-11.104535562045594,-8.628608986805675,-7.87628666755996,0.2432069191247158,5.202442159472222,-11.320823090712114,6.719326183967066,-12.069267824178771
8246,,-9.746957823730076,-2.2311238605532435,-14.770361267026155,-5.7357242334283,-7.667720309847428,-5.973939949317215,-9.30395651626991,-6.321357316078525,-6.648295780888869,-2.308254210202954,2.5153130871337543,-10.389160893608585,7.030143489680468,-11.844276863191237
8496,,-8.948990666342354,-0.8988769062205509,-16.452265078909008,-6.399519020227158,-10.094459632536,-5.4992866476319415,-11.5639124885714,-6.309120427667819,-7.554556923848584,-8.96503082238117,-6.698925296313126,-7.986707620672085,2.2418104886107866,-14.513791518476824
8746,,-6.583193372462869,-2.360845347697503,-12.384734258214742,-3.86053177911507,-9.070789230015697,-5.4784297736705785,-8.527404097010242,-10.22219266423808,-11.924184320818318,-0.0187440193629543,-2.709258668478882,-11.237833110009303,7.404868227178234,-10.299681486844989
8996,,-6.848287624931916,-1.2780480532325311,-10.811025080022016,-6.131785137575033,-6.535013560174482,-9.716227423323083,-10.14016556537053,-10.681627146131516,-12.368981836295134,0.3609469381231789,0.0878241270243527,-15.47012435384943,6.556532031835031,-9.663389986246893
9245,,-9.526202954474456,-3.8785420056989626,-14.738891915396144,-2.193127267081746,-8.959645528429146,-6.961444961094073,-8.359394695133087,-9.293198667631348,-10.485316320563538,-5.9668702766856905,2.135153882957513,-15.307947820842676,7.035187300761256,-10.976902642138494
9495,,-8.645674007608235,-0.3907631248087143,-14.089983552273216,-4.4600611377829695,-8.697701458618905,-6.538509724703796,-7.303481681708945,-5.339742937975328,-6.250269998171661,-0.9989943998273804,0.5674311229249288,-14.996435684900035,6.611623124778154,-6.924313527213415
9745,,-9.42362321611397,0.9069303694230988,-11.322487382682098,-6.011265560847737,-8.205180063790404,-7.163883851534887,-6.410242552291869,-3.5723212077895057,-6.045471616260091,0.8905195512368103,2.4744062530717743,-13.905390784323298,7.539786058467863,-5.075860780288456
9995,,-8.155231934923975,0.6198699787195606,-11.522051015982608,-4.221322539189392,-6.752949592265666,-7.859741486813211,-9.892572674138384,-5.736069344207527,-8.709566265860444,0.7869232919565993,-0.1564741111699827,-10.501598316394851,5.718065438325066,-9.93169289083746
10245,,-4.714959569584295,-3.912016183168849,-10.57042392163766,-4.365745556776682,-11.282022019809624,-4.451354608706612,-8.064450224394804,-6.978857928371607,-7.150361227685909,1.68003951236309,1.216814499548518,-7.574096207658751,7.1094727037944185,-11.671861563184777
10495,,-6.276112703663572,-3.390960770434652,-7.828123548313606,-6.758394592713078,-7.2358132908100306,-7.089032033006967,-5.772175780151342,-6.359629211584603,-4.328578919161251,-0.0297608808529468,0.4378158081757297,-7.051567617355048,10.060405657121,-11.998747086290646
10745,,-8.329255644480842,0.7637275366772273,-9.572497018082164,-3.0070169172255534,-5.863679795168015,-9.549756087234863,-5.71326026103037,-9.661691655025278,-6.300548931648167,-1.9594411477461935,-2.058003755361387,-5.897912270734713,6.957367001323673,-9.260198353020888
10995,,-10.546202862859817,0.4060144135187085,-11.765355676952376,-3.3848845134935592,-6.813975576706506,-7.726052114585597,-7.35162901193619,-9.239417755074388,-6.964595856062493,-1.9036483564326527,-5.580410093615603,-8.842155061908034,3.718777410172539,-10.55069571898735
11244,,-14.69929814769425,-4.884956329515424,-13.637948366416657,-3.590596099654995,-7.938929472243176,-7.550622559834609,-8.140395460397668,-10.417270587384127,-5.434509527416869,-2.4984880388482926,-6.1702182661707,-7.992371501543111,7.140413580549419,-8.367530320005471
11494,,-9.247423974635472,-4.996746809258439,-10.115990159443486,-5.821064248882784,-8.853877176916326,-6.4443056409482455,-7.581570127851859,-9.391950888940766,-3.6595177005861945,2.162442710643931,-4.234454606971175,-6.167507551570671,9.573900769848638,-8.618546811209335
