timecode,event,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4
4998,,-15.428242463645578,-9.327592260436704,-15.652002108443924,-7.468240980445808,-5.879943551899043,-12.917995124422584,-16.3158961969793,-17.231566566866782,-12.528933633809505,-12.390129669875243,-7.006327646577527,-16.875502209173266,-11.346391017395396,-6.86006767036015
5247,,-13.157249677144824,-9.136849465525614,-15.27229765295827,-9.70346335626562,-9.187990314203011,-13.752143470916254,-16.01970349372395,-17.06332587069905,-12.109679920368796,-11.945457585614951,-8.557005607496345,-15.827924543697256,-11.721078901486887,-10.146485636949729
5497,,-8.825395496539096,-9.38576600984143,-17.553105995689645,-9.313915833066748,-10.283082625557755,-14.75841425852101,-13.829382381844802,-14.898176156029876,-10.055492942198008,-9.074648399654096,-9.003377467169138,-13.152020380297415,-14.516095711814334,-8.611564089911766
5747,,-11.192374062740232,-10.438596142148606,-18.119799243630368,-9.098476184569115,-8.279293953033319,-13.41454540812952,-13.476843300846364,-15.898571472736474,-11.942874044441956,-7.101910158573256,-6.191663347983382,-13.484584514503142,-13.39792950978492,-8.194172010938845
5997,,-17.93976552182974,-10.293625581007056,-15.500428377165337,-7.896929310033674,-7.904860039028949,-13.864336489095832,-10.427034414589762,-11.840591476683596,-11.778020996660224,-10.046717540872011,-9.565632078147,-15.905311421858784,-12.680261765120326,-6.08910619758436
6247,,-15.654662846722738,-7.31292262326405,-15.788571671360664,-7.964086941530332,-9.315133534376768,-16.61128043287404,-12.3336635687141,-10.38971343572765,-10.777419684640236,-12.673764205350334,-14.552921808260963,-17.83020175071228,-11.111454218290104,-5.2003809271857495
6497,,-13.33066846943838,-7.882814086507407,-14.397824472443894,-6.665972218495455,-11.79228101424852,-16.242728368657055,-10.00320449287682,-16.566640112209488,-12.555840185325389,-11.897180988994371,-11.78294998984784,-13.685387453048406,-9.211584451578968,-6.07457959638635
6747,,-12.86329518578848,-10.037413734115894,-13.81533120018654,-4.430790442087844,-7.6817366657983825,-15.31893087903743,-10.640576265512331,-13.459915022443028,-12.647041779619624,-8.54361759454867,-9.187450835630024,-13.057770104983671,-8.723345601916726,-8.056078783458828
6997,,-13.153486487144736,-14.2702313416196,-15.340310371449226,-6.631894246524758,-8.506021081254415,-12.020228061275889,-11.175713549844057,-10.34370690151594,-10.748012436208036,-8.189904148242292,-8.45535207343245,-15.465015290701428,-8.429306151291737,-10.790362493782018
7246,,-13.428682095226849,-12.969060279264031,-15.500717455000796,-8.505344430443749,-8.868655179557258,-14.83911540178804,-11.873365175911054,-14.37785179822749,-10.73985491735137,-7.573917953333851,-7.140876920102986,-14.84044176343106,-10.763696620497967,-7.021666162392124
7496,,-15.390070042614024,-11.632874109575164,-17.913950066437515,-10.650849921028536,-9.440284787249874,-16.070905097720015,-13.89727870721302,-16.079227919919177,-13.165108187816507,-6.657113758046993,-6.914142327449143,-14.907459354904011,-11.059399606633145,-5.408131514839436
7746,,-15.1592151976394,-12.577571696431528,-18.35197619822865,-10.186504394373566,-10.12975970687199,-13.520658777831311,-14.765524044541609,-16.749379296575416,-11.919701245875936,-9.377151238256996,-7.335858556615721,-14.271577778301667,-11.072553316305726,-7.800927818445795
7996,,-13.388031073363916,-13.130794393235082,-17.51886973988334,-11.977086327097291,-11.552882054134349,-13.281427836405696,-14.572576267743385,-15.735495080384595,-11.053842312420675,-11.838922605752282,-9.948721770725232,-16.60121359540075,-9.67459436410511,-8.754725072277653
8246,,-14.203038949218456,-10.547381573220552,-17.141831016836313,-11.55018654642813,-11.171496623340705,-15.203206640715816,-8.93299209388628,-15.179557222862435,-14.597554938245535,-11.274876054644952,-8.972437969942108,-18.51913504052703,-9.841079690131354,-6.932187111868577
8496,,-13.449636616526329,-12.518716286201188,-16.7366345368264,-10.399747454151465,-8.008306294770147,-13.50470822012861,-12.347939888573055,-14.847444416999531,-15.189760442934602,-10.545424729659734,-7.166806273617933,-15.992627571570615,-9.058051345075723,-4.762287584696564
8746,,-7.111791307071373,-6.722460960958546,-15.327863528500556,-8.14918876322514,-4.897775582783823,-10.071546971987896,-10.992097717831722,-11.707479936899254,-13.952247148829304,-11.828784711339663,-10.813183615049,-13.893096241929944,-7.432939431198891,-2.2139572980394515
8996,,-6.787812196643235,-5.146995152653675,-11.549202815299047,-8.491716044813518,-6.91847097962453,-11.403061854507486,-12.0484728424485,-13.084148134018385,-12.569638837929515,-11.357988118451493,-11.30431026994925,-14.357066718321471,-6.645209748778847,-2.928430971978605
9245,,-10.531254619814652,-9.442547868738709,-11.973602913996912,-6.296061989842983,-10.290032942675952,-11.364382014518124,-12.174584331448974,-13.987741841295254,-10.189932067479566,-9.471854069165678,-6.672882302764217,-15.748499660771175,-9.62020939391594,-5.664981726169357
9495,,-13.045773294410376,-10.103178306965985,-18.242639626669863,-9.053666446145032,-11.794626397712983,-14.09649141668098,-13.8948078404081,-15.407649875953148,-11.64280437683332,-11.871054634943558,-4.438317233272819,-16.69911906701078,-8.24474489639219,-6.309338754894237
9745,,-15.160005973059612,-11.869547837825936,-19.400592675703336,-7.827479359325984,-10.877711855733454,-16.665524599935054,-13.426106824253967,-15.829394377278785,-13.39137172447298,-11.831923424665003,-8.021199185936393,-14.227722323255286,-9.75369621583948,-4.993457351049734
9995,,-17.42207383520755,-12.695951825767908,-14.733883418620874,-7.202387712448176,-8.069896358194613,-16.53274855872138,-14.994784198796983,-15.480850703844736,-13.57526295610356,-9.10132643103788,-11.40411768186106,-12.81790838257624,-13.528448264163726,-4.644965730188338
10245,,-13.62584618889569,-14.95048725955618,-14.242581516853985,-8.904936144362765,-10.026178272419967,-16.506977347246945,-13.692593942192053,-18.29850098911491,-13.048518281723684,-8.23601705908622,-9.38081437013013,-12.70665756219005,-9.532636263532076,-5.090313523856002
10495,,-14.192275382631165,-16.581851521283326,-14.94191852059274,-10.003316567360176,-10.580427573881082,-13.686845991947552,-13.144052183162046,-16.43169333254303,-10.588338001061782,-8.479335787227477,-5.731513767957744,-12.509672081320002,-9.494403126541863,-5.143486224414676
10745,,-14.20865815267685,-14.634214880941943,-14.08889169378339,-8.008343454325637,-10.311974225085494,-13.493006406293327,-14.222865589904474,-13.163546231542991,-11.054722395994023,-10.74071479468855,-4.697237395176471,-11.237557596183963,-7.892801550096319,-5.425915621511295
10995,,-17.357328063974585,-9.65288329847118,-15.18515849512405,-7.1801446859107445,-11.845478875180234,-14.613521430935377,-14.262377828203796,-11.018220061353473,-14.704641627807684,-9.454295736792377,-2.9050043109817385,-12.387230873602908,-6.8963573399262845,-3.9138262518299545
11244,,-16.018007463643475,-5.558767670226237,-16.54767239010969,-1.1854641025238342,-11.876889186056976,-14.985137697518155,-13.216410502085695,-10.4640149463151,-10.822192448323609,-10.470929633316416,-6.134128686214692,-11.566882916478258,-9.562141895146713,-5.273677245806312
11494,,-12.39356279632828,-4.350953076119378,-12.955926671865065,-0.5852288818501525,-11.446333115665102,-13.565863135346978,-13.193824454067675,-14.356550160770844,-8.969821975285813,-8.874519515105181,-3.9553871561552434,-8.49376490047679,-7.42952469398475,-5.64881183277493
11744,,-10.571280424626757,-2.1992746366671505,-14.04134850492962,0.3823887695638521,-8.064209417046209,-11.816639143101138,-14.118344412516702,-15.162521317364948,-9.303834120936902,-8.959422129390038,-1.8889652826105707,-9.292912604511244,-4.455964104244126,-7.540082864205219
11994,,-10.014090372780815,-2.3504431832543893,-17.615260901491084,0.9720386523869256,-6.778551120689402,-12.344923776184654,-12.551573668180565,-12.70742377035857,-9.615108621576198,-8.949875412170812,-3.750276211528142,-12.928528350593428,-3.059392120061808,-7.560807208621194
12244,,-9.674139599309528,-4.889102617280634,-16.522051453548748,-0.0083181642759496,-5.705560857086351,-11.367611502326254,-15.452480286888576,-13.716614208723552,-9.369076996956752,-7.393447120325504,-2.5647051519480843,-9.818496104538609,-4.793728555924065,-5.944955878974828
12494,,-8.631740984437366,-4.843133473938551,-13.847911679627025,-4.349773285048899,-7.198946853102309,-11.907954391002594,-14.997833553280264,-14.937990213801845,-10.904960932272903,-9.37128245052634,-2.9731719164737225,-9.252835248002032,-9.169870069738334,-7.155131241083574
12744,,-7.747287233984796,-3.638553246137106,-11.164175971822566,-4.001898625715396,-8.419460927286154,-15.750713394932829,-16.30771926954906,-14.641942176335744,-14.455861519382822,-8.460726436400185,-3.230322568501097,-14.990920420635277,-5.546388055234841,-8.151763292392408
12994,,-8.056341077176683,-3.846205509936426,-13.311334310431992,-1.11927214834494,-9.587377950762953,-14.820121156722871,-18.56418914400852,-13.677081806015837,-16.582624982270154,-9.386260681721543,-5.4762681087889895,-16.533455958642882,-5.674777342783237,-6.668491030355563
13243,,-9.346733204310835,-5.764363177640991,-14.978450473092805,-1.2444793334275817,-9.906296987472912,-12.254155673899348,-15.181618407903294,-13.947187420607444,-15.025193676307646,-11.306289091731514,-6.114813738668957,-14.856327676404506,-11.396359661942302,-4.550615845395348
13493,,-10.14153573539436,-4.94956991424168,-14.650122025087637,-5.702372416818633,-10.911971672688765,-12.484833345808624,-14.514519808916331,-13.233072516112337,-13.583534100769803,-8.936777630723894,-9.255478739852135,-16.14207470505761,-11.574903058645123,-8.660556012401354
13743,,-8.137653774461484,-6.574173692286204,-15.802234239166436,-4.088158539820567,-10.53295803070592,-12.617142916852732,-14.110595590561053,-15.722871342111503,-15.37640922783368,-7.9982902707475585,-9.375570822995403,-17.85349888133937,-10.718934613380656,-11.391450276941343
13993,,-7.518427357815463,-8.745130236166585,-16.74922324186375,-2.0092287029282865,-10.424334923355277,-14.685162082324668,-14.44853186135384,-16.603127118573422,-14.89131693609919,-9.577989573799297,-5.898020669048744,-17.318453838128033,-6.738887359805668,-9.15943126664249
14243,,-10.137411311450856,-8.403254159256345,-17.803647091429102,-4.594089951306604,-7.844959770952932,-13.967739785700072,-14.963522731422472,-14.264168045701233,-14.657114770829548,-12.77175698529401,-4.768947026202564,-16.385960133870462,-7.54519540257026,-6.323522537664123
14493,,-14.43492034712882,-11.541444710797244,-16.151748228049655,-8.291485453264505,-6.63615702160235,-15.475798028249878,-15.99356351043695,-13.81560996429277,-15.292350580278583,-10.383292532746363,-9.630158253175797,-16.018504872590555,-12.307042538738548,-7.055492004337191
14743,,-12.320303621560369,-7.751216190530688,-16.544064626321514,-7.755952853534413,-8.595293436277485,-13.912990814685164,-16.569399924468517,-14.8627337418775,-15.39994278888762,-8.60644791528457,-7.248400202522926,-14.92759769481745,-14.811522438873231,-7.032648238094844
14993,,-10.809575035671235,-3.80000510365347,-14.65992707750794,-6.761529870800085,-8.146791538073666,-12.27342570209461,-15.881509776431416,-14.486493687289707,-14.202562688726584,-12.268712351562844,-5.165514351972071,-13.75575649011267,-11.482083704325554,-6.468118429947168
15242,,-9.41195843382703,-6.159719809332909,-12.490578482094396,-8.145868677461554,-9.847088913909795,-12.988299019689933,-12.531192613806198,-11.79579241049472,-11.654780879648786,-10.924436195191468,-7.319980724782006,-13.64754148957369,-5.8259902895448725,-8.703015428889056
15492,,-10.235009714934485,-6.733717198310489,-13.12944884850184,-5.148467307387014,-8.461451282206689,-14.794135112512256,-12.805012912088428,-13.60539777670921,-10.908259722583187,-9.389064518985013,-6.884491005915645,-16.021227004776463,-7.019535306439012,-8.542070721448113
15742,,-8.308559320202404,-6.788661690191025,-13.63795707664921,-4.162140691593002,-7.152128676946338,-15.507452944705824,-16.44587359137187,-17.864328899645013,-13.484857330456874,-10.29675520851753,-6.403165359568471,-17.252720206438692,-10.363384758843974,-10.419011075370497
15992,,-8.965868400242604,-8.89609430318118,-11.878211378660112,-7.619794150343504,-5.786449550038681,-16.958146622203365,-16.115179411016854,-17.68120923803044,-12.841456005580907,-9.52168870580556,-8.18899498544625,-15.34471445555516,-8.529224447750757,-8.170624735248039
16242,,-5.499111498951987,-6.777659931765934,-14.311180457486326,-1.6615552173728356,-6.383026518616736,-15.574112999842455,-16.088690241912737,-14.353699901730248,-11.4928664585598,-9.582866931294214,-8.297194992361547,-14.898246646039505,-6.464443823657144,-7.469832083938396
16492,,-5.523375936196777,-5.155429086308891,-15.072079978891413,0.9203218550848158,-7.299930457735178,-15.884435080038488,-16.34379925689607,-13.547539021830683,-12.840173064404496,-9.16564509564114,-4.891702426926739,-11.90799277700294,-5.9251557997934166,-8.166866145960505
16742,,-13.883088200236497,-7.583807589015139,-13.51732655008724,-2.856370798217023,-11.176518332147625,-14.281458276479558,-15.532394425724354,-14.116859673189992,-12.857486359999635,-8.208212065313338,-5.324544025362993,-12.06896350926894,-6.6453013525332985,-5.208135614529272
16992,,-11.291225790433112,-6.447626958962102,-13.602960448720475,-3.725571300695465,-11.240471388227313,-11.140038958774657,-11.702305992051002,-15.879556097032848,-13.305544601474269,-8.536653333404141,-5.475613583894544,-13.47747715346115,-7.707444573048904,-2.0214937571044804
17241,,-10.219041743694682,-10.536708203073095,-14.76742211634332,-4.535579206065069,-8.780374348992428,-10.644969553345504,-10.713249664240884,-14.506684786707416,-9.86127153643999,-6.347235447823204,-6.871520554156259,-17.85160769704432,-7.022652143789915,-7.522163246176258
17491,,-9.078268433258502,-12.22282567065805,-12.186612056745156,-7.57470572018045,-8.636591269039155,-12.612005048740278,-13.768387512465704,-14.410940524912546,-10.638979497044724,-6.6588949431125535,-5.877352597664219,-16.028198770949288,-7.960350256545903,-8.149296624747187
17741,,-10.113360419484854,-10.280740805035906,-12.307060916517395,-6.6680543126083744,-7.5101299637928784,-11.7030938510524,-9.5667727929013,-17.322454024423614,-13.48454224347542,-7.164535200493667,-5.894280766234527,-13.937412795928903,-9.323765443483715,-8.796627173715791
17991,,-12.599131137421033,-10.964410255128469,-12.115304049325903,-5.46145241527398,-9.894598885455071,-14.414366215817498,-8.10739029561398,-18.09616364256812,-13.642109451289215,-10.221881610070344,-8.426049325823723,-12.827231943290991,-7.530416487900569,-7.343666584053415
18241,,-12.564907088599073,-11.771784605896237,-14.74978373317355,-4.448846169763289,-12.09876529558629,-14.257284376517278,-9.946758694701552,-14.658255936281622,-13.178335120743707,-15.119320211095616,-9.716357835667914,-14.944642856029471,-9.584627255273414,-7.517787241744227
18491,,-10.279504995581163,-13.526066500931917,-18.211229655746536,-4.424972343538666,-8.398796353140602,-15.301936157835174,-16.271937221377893,-12.01335767233929,-12.979759535938877,-15.166185551408436,-8.387291043530794,-15.836524393870764,-8.733674870699486,-8.017236843194734
18741,,-9.49391454723312,-12.050784221819042,-12.972992207688158,-9.081909328566688,-10.483940065748614,-17.111987831619565,-20.599028558655228,-15.622521915697886,-14.114642218992463,-11.91645477914044,-10.349531831924804,-16.316888343605,-5.227292509271266,-8.016633132204564
18991,,-11.20257291868526,-9.75826472742452,-12.775143273654685,-8.341540552265252,-9.349623564311766,-13.077048319103044,-17.582724983220576,-15.730356604680644,-11.734401868962516,-8.887998643459056,-7.076595104090822,-16.681236336313553,-8.07725500046623,-9.561999655878916
19240,,-10.62159283493547,-8.339190099855072,-13.904794928451944,-6.830377296421718,-7.549268767064365,-14.782892987028507,-16.59987207109131,-14.223943929270575,-12.036618026226364,-10.248900449385545,-7.42307763947481,-13.547507892708644,-9.037584183284563,-8.830102643345406
19490,,-8.98446569155926,-8.606441397364025,-14.108772516035364,-6.374461153410919,-12.328194150208656,-14.354140202680876,-15.13453517986128,-16.344978957284283,-11.525457381175633,-11.91767643031213,-9.76604308454051,-16.548500710050455,-8.605029211376495,-9.424769933162786
19740,,-8.927764458208223,-6.530900107455251,-15.024129488927043,-5.671277500833297,-10.907424286258047,-8.927699373815482,-12.96449114905652,-15.202475415645791,-11.720861844294168,-9.803204162238623,-8.77987703029118,-17.632331332936918,-12.27575459674151,-7.001486666243788
19990,,-10.973070730805148,-7.724472946206604,-17.13438806663006,-7.482122113897732,-10.54076280080405,-10.791441252182167,-13.85917800498439,-15.69603614477311,-11.149920208969217,-9.206499114574394,-6.096121299642468,-16.318994137203813,-13.167711996709954,-6.389757224875581
20240,,-13.81244717287441,-9.321388491341848,-16.628150132750598,-4.242909144911423,-11.345824158095803,-16.616385004567704,-17.21780830692197,-16.50740629579459,-12.158802029268651,-10.661320406006285,-6.238661123593915,-12.198727368851298,-12.56067695321683,-8.057287965223061
20490,,-11.435040635325311,-4.73310246580401,-18.577502782150237,0.4498732379219257,-9.79720902760502,-14.637656429930756,-16.633760599673945,-15.426052131333227,-11.65597763222756,-10.400649804226614,-8.87014937213436,-13.224582175823832,-12.250371377049644,-5.652850333280869
20740,,-12.8036564709642,-3.7780368943586913,-18.494664090058382,-1.6568625732260245,-8.297494549312228,-13.11972810940359,-14.80001816029166,-15.716801880981295,-11.11703817906574,-10.078644535421844,-8.688789506921365,-14.21954197962022,-10.43763548417646,-6.876379153557215
20990,,-13.38766081707776,-5.917310737042705,-14.269462959523816,-6.914121360274189,-6.457503860641424,-12.84580519842594,-13.583806624515532,-16.165597930167767,-12.26729352363468,-10.242660716932791,-7.012612348710232,-12.11863990198234,-7.658781966348645,-8.589640110244924
21239,,-13.153626977344652,-7.236376826732654,-13.352792823212392,-6.589864748210351,-6.803124270824271,-11.80407833017851,-12.07922439670095,-14.41773468943232,-15.251400022419377,-10.068971947660907,-3.83263714635313,-15.27493620889066,-9.076670362118994,-9.900069042872804
21489,,-12.03100557384644,-9.019342294890915,-14.456787622769388,-5.033611003202159,-9.140562042072856,-13.007537244942297,-13.5361644805575,-16.418002127336614,-14.710114949826185,-9.834505023311868,-4.926783646776943,-18.013568341575905,-12.386829452900953,-9.474216877700986
21739,,-7.991860774434105,-11.021362290266811,-18.06993934103504,-8.922622322310135,-11.2392742084858,-11.12561967284741,-12.917584645386786,-16.536004844129724,-12.999064983229768,-9.230260682451926,-9.877391458442489,-17.9672610140933,-11.842882217051471,-7.98145499946499
